y_h_star,y_c_star,y_h,y_c,u_fu,u_ff,c_fi,c_ci
1.48,680.0,1.5,660.0,80.0,38.0,40.0,73.0
1.48,680.0,1.5121139691008507,649.6637501647622,112.60003329290862,40.722067227398774,39.33230954451669,71.16845265405821
1.48,680.0,1.4932118801846936,666.4970526537383,59.109128731890465,46.01335330638615,37.46632500082176,70.78821537691279
1.48,680.0,1.505620516501624,654.8674157991825,86.95737306560525,34.08382009081422,38.90287590198181,70.90759107777949
1.48,680.0,1.5241103084915437,638.7182200216557,100.8672563855093,33.51200616924231,39.46591443895137,71.48569011535163
1.48,680.0,1.5156995617603044,645.8426666811604,48.54225816100693,36.0519659239815,39.98995640470096,72.14944278383247
1.48,680.0,1.502821540102589,656.830135567721,82.02622771940628,46.50043105654769,40.0111659519968,72.99849960648832
1.48,680.0,1.4989684158168042,660.1504124900399,92.6382581579347,44.349786941313845,39.67277001101074,73.94256756435843
1.48,680.0,1.4733055506473112,682.976556111678,43.38059522705849,44.32940280753556,40.29512982943079,74.09074469614397
1.48,680.0,1.4377886832553195,716.5151998658692,43.70615937688491,49.81261015515479,40.391989089460054,74.22065745840894
1.48,680.0,1.4514372040257277,703.3251193482872,101.7768503917576,38.21660733123857,40.832924993848984,75.97355488063513
1.48,680.0,1.4410783011935324,713.0210296545437,52.12261101283986,37.664318282223256,41.30895987774271,75.98907922613967
1.48,680.0,1.4185848487856372,734.7140939433029,47.17778424223167,42.908536283287454,42.6089730821376,76.11415692195557
1.48,680.0,1.4313079596697935,722.6160024312079,104.9197494262947,39.32492908998226,44.14355916975752,76.85266903357737
1.48,680.0,1.414820681447553,737.7984469641381,60.997705006262194,40.480246157156614,44.80918134090268,78.25032451977893
1.48,680.0,1.420326068865138,732.796914419386,96.8617048101974,39.47719388217144,43.60430308857592,78.56171387214094
1.48,680.0,1.405475051535945,746.6873275661908,56.236657849166846,38.61872490064434,44.60648948691651,78.02914040086523
1.48,680.0,1.414483440647249,738.3111058429536,73.60622958206075,32.13367388807492,42.72228438330441,76.48536471146303
1.48,680.0,1.4015732842136495,750.9997810880144,58.55809702881161,40.24590597922428,42.765059353235564,75.04508909448552
1.48,680.0,1.3742412368994181,779.630468828739,45.08522235409978,45.56026788815753,42.020607521341915,74.7089805955779
1.48,680.0,1.3760819605484322,777.604487763675,95.8506393021741,44.658988660058,41.32976944044213,76.61113406721495
1.48,680.0,1.3641001618796664,790.8717353660879,53.41567931542567,41.02974538761608,41.8978165951079,77.86585063328293
1.48,680.0,1.3468431792444806,810.2287894121013,48.49605512570467,42.04818909516208,41.92873452220893,77.63850391047882
1.48,680.0,1.3777806039921574,776.0550840311846,110.52965603111464,31.51198455067749,42.47363144532055,77.77227846931684
1.48,680.0,1.3777240098173416,776.1144989851148,57.01147011978168,33.57377957533042,42.102533803770996,76.35102249060286
1.48,680.0,1.354891651062723,801.3427855491226,52.73206030835091,46.20358675206278,43.47503479503462,76.84207443177658
1.48,680.0,1.3905066518560225,763.7496583549841,115.57095112847259,30.72132930968957,43.36906303836834,77.33955377014532
1.48,680.0,1.3720111120371357,782.801786805431,61.76315684079873,43.75209708718238,42.497088576225536,76.87124867941819
1.48,680.0,1.3775594505704447,776.872916900299,78.68205229800921,37.14704997337695,43.68900007824433,76.3639721244547
1.48,680.0,1.3895389053163074,764.5529277680396,77.49980910011608,32.614390622345624,44.611832067370564,75.33608915617268
1.48,680.0,1.3948379382745808,759.246299962511,97.32523398440688,41.29096051909396,43.11522564592934,74.77793019004709
1.48,680.0,1.3679312545544786,787.8772099199133,46.80524071541639,45.94351895554872,42.758263445844754,75.28243036057546
1.48,680.0,1.3706147705313585,784.9305915339011,52.32435620305974,30.9016047811078,43.28721130787567,73.33544935785658
1.48,680.0,1.3752537742319308,779.8264852110512,92.74339677644173,42.172647707532526,44.002545772428796,73.16299354958015
1.48,680.0,1.3695903555485776,785.994444059537,44.87668688003461,34.02569978621778,43.94574276036186,74.58058173033274
1.48,680.0,1.3859506462748048,768.6612745032696,98.86636811333163,36.775110451198955,42.1408142681346,73.44245951577935
1.48,680.0,1.3871606610581586,767.3470771560687,73.66643205837721,38.97294930455369,41.02585295516152,73.19859786332651
1.48,680.0,1.4088161737335583,743.9451056633059,110.66584124033066,36.504286911629585,40.50319982220415,73.13863556377889
1.48,680.0,1.430174221776774,721.8664767701525,112.35664778600756,36.82179955021557,39.031973889363975,73.4029243434695
1.48,680.0,1.4549605820356744,697.0475300781926,113.3151599432986,34.01274757034961,38.99936514511781,73.63241059721832
1.48,680.0,1.4470102367043645,704.822848953367,44.98762618057363,36.319004576830054,40.57637781977975,73.48352004132082
1.48,680.0,1.4226626673794731,728.8715655539437,43.92436021308055,45.197433235320375,42.146878406826914,74.3505405299985
1.48,680.0,1.437582116923303,714.5391969685118,77.94139175131338,30.18777792907332,42.7201552171762,74.36360276237124
1.48,680.0,1.4177125564787982,733.5270229978563,60.32029547299498,44.2412317128712,42.68951749032256,76.04632599804775
1.48,680.0,1.400066391048931,750.8567760845958,74.74432637455779,46.4357066327841,43.48971788271579,75.28877425618825
1.48,680.0,1.3731584085450925,778.5506460931347,60.63811865594041,47.870284238859426,43.70691304959815,76.41762336601293
1.48,680.0,1.3578057128546495,794.9224213422798,45.43999570231631,38.68628294322815,42.003009505819804,76.18812908845223
1.48,680.0,1.3520820322671134,801.4099236423718,92.67522110503393,47.92318446860115,41.962447858812205,74.12474850989233
1.48,680.0,1.330994149622004,826.7684779121506,44.61929115492705,45.88006392508919,41.462808614316955,74.79229555598484
1.48,680.0,1.3482309571145106,805.8835120979986,112.14057650036814,41.15991687049477,41.73222031302976,75.76401734532777
1.48,680.0,1.3495398455390615,804.3613671456587,104.52179011384027,47.83047021167384,40.357972059768805,75.21735399212461
1.48,680.0,1.3382978981559572,818.0682188742574,66.05651205579136,46.64462186345294,40.32198149110096,74.57682565801599
1.48,680.0,1.3294038417066887,829.3076751760808,73.15620278138738,47.92903236204205,40.6895701696078,72.75130123369678
1.48,680.0,1.3205537944522652,840.9293672636851,51.76943095356707,42.78463172276962,41.08279752103279,71.83456276424646
1.48,680.0,1.3402539105634004,815.3927773399389,106.05833297973417,37.473559108586926,40.26828427800524,72.78620490684756
1.48,680.0,1.338787497847609,817.2550813861103,65.78971021025995,41.18333321286489,40.34103233739019,73.84069589374965
1.48,680.0,1.3427841663452582,812.2650922545026,60.29078634297239,34.49025023220485,40.84594312531584,73.0769304773055
1.48,680.0,1.3312081305877554,826.8488754002175,66.57199231298154,48.00103806617917,42.654070615693044,73.53143953410608
1.48,680.0,1.315406469243942,846.6939165775683,62.5481446404867,48.08877016204056,40.74974529454172,72.36049313183355
1.48,680.0,1.3222673704307524,837.5151466258328,67.58208060482426,35.28778375627444,41.22827774562612,73.1560039900985
1.48,680.0,1.3293446017306259,828.4087489281621,78.2749232494471,38.42741927413469,40.96715444902615,73.43897587731756
1.48,680.0,1.3230188815406565,836.5565428668185,82.81698300241007,49.185177263762,40.08844551351892,73.82582355660631
1.48,680.0,1.3210165612451024,839.2025364309836,89.19220427904452,48.8231075358648,39.51415395739439,74.09477854897676
1.48,680.0,1.3073618414186639,857.8367056766192,57.57747837908863,48.94556615509816,39.106017247524626,73.65429087375064
1.48,680.0,1.3161565219808975,845.5832830404955,69.79258467957922,34.579924402145885,39.12405109917377,74.24056478188263
1.48,680.0,1.329912954483297,827.1789857006828,81.06061660550654,33.76824672311974,38.88064248935684,74.35739036708254
1.48,680.0,1.353745928619427,796.8672252033518,103.29905502772172,32.28250851165823,39.548589545098686,75.10027605854194
1.48,680.0,1.357020673973778,792.9496029021655,89.21761766369812,43.81132599218179,38.937460346485125,75.21738653923968
